date,pacitan,nawangan,kebonagung,bandar,tegalombo,tulakan,p_das,pe,q_runoff,q_baseflow,q_total
2014-02-28,1.0,0.0,0.0,14.0,7.0,0.0,3.6667,0.0,0.0,3.92918,3.92918
2014-03-01,0.0,0.0,0.0,0.0,2.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-03-02,0.0,0.0,0.0,3.0,1.0,0.0,0.6667,0.0,0.0,3.92918,3.92918
2014-03-03,0.0,2.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-03-04,0.0,10.0,0.0,2.0,13.0,33.0,9.6667,0.0,0.0,3.92918,3.92918
2014-03-05,0.0,40.0,0.0,0.0,3.0,0.0,7.1667,0.0,0.0,3.92918,3.92918
2014-03-06,0.0,0.0,0.0,2.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-09,0.0,2.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,3.92918,3.92918
2014-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-13,33.0,6.0,19.0,4.0,11.0,8.0,13.5,0.009953,0.080641,3.92918,4.00982
2014-03-14,3.0,28.0,4.0,3.0,4.0,17.0,9.8333,0.0,0.0,3.92918,3.92918
2014-03-15,0.0,15.0,1.0,6.0,0.0,2.0,4.0,0.0,0.0,3.92918,3.92918
2014-03-16,0.0,13.0,0.0,9.0,11.0,0.0,5.5,0.0,0.0,3.92918,3.92918
2014-03-17,0.0,7.0,12.0,22.0,40.0,9.0,15.0,0.080395,0.651349,3.92918,4.580529
2014-03-18,0.0,11.0,0.0,5.0,4.0,0.0,3.3333,0.0,0.0,3.92918,3.92918
2014-03-19,2.0,28.0,14.0,7.0,1.0,13.0,10.8333,0.0,0.0,3.92918,3.92918
2014-03-20,10.0,6.0,14.0,0.0,0.0,7.0,6.1667,0.0,0.0,3.92918,3.92918
2014-03-21,10.0,0.0,18.0,0.0,0.0,13.0,6.8333,0.0,0.0,3.92918,3.92918
2014-03-22,0.0,0.0,0.0,8.0,0.0,6.0,2.3333,0.0,0.0,3.92918,3.92918
2014-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-25,23.0,2.0,4.0,0.0,3.0,9.0,6.8333,0.0,0.0,3.92918,3.92918
2014-03-26,0.0,0.0,0.0,4.0,0.0,1.0,0.8333,0.0,0.0,3.92918,3.92918
2014-03-27,5.0,13.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.92918,3.92918
2014-03-28,1.0,1.0,0.0,0.0,14.0,0.0,2.6667,0.0,0.0,3.92918,3.92918
2014-03-29,0.0,2.0,0.0,3.0,3.0,24.0,5.3333,0.0,0.0,3.92918,3.92918
2014-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-03-31,0.0,4.0,32.0,0.0,4.0,0.0,6.6667,0.0,0.0,3.92918,3.92918
2014-04-01,0.0,0.0,7.0,0.0,0.0,0.0,1.1667,0.0,0.0,3.92918,3.92918
2014-04-02,0.0,13.0,1.0,0.0,75.0,6.0,15.8333,0.14734,1.19373,3.92918,5.122909
2014-04-03,0.0,0.0,0.0,17.0,16.0,0.0,5.5,0.0,0.0,3.92918,3.92918
2014-04-04,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,3.92918,3.92918
2014-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.92918,3.92918
2014-04-06,0.0,0.0,0.0,3.0,38.0,0.0,6.8333,0.0,0.0,3.92918,3.92918
2014-04-07,0.0,3.0,0.0,6.0,43.0,1.0,8.8333,0.0,0.0,3.92918,3.92918
2014-04-08,4.0,0.0,2.0,6.0,0.0,5.0,2.8333,0.0,0.0,3.92918,3.92918
2014-04-09,13.0,0.0,4.0,0.0,2.0,1.0,3.3333,0.0,0.0,3.92918,3.92918
2014-04-10,1.0,0.0,0.0,0.0,11.0,0.0,2.0,0.0,0.0,3.92918,3.92918
