epoch,train_loss,val_loss
1,0.004001611679985647,0.004936882228303026
2,0.002932996474346012,0.004046814511889504
3,0.002447149191945469,0.003056354321470647
4,0.0020264776350436492,0.0026931981837389454
5,0.0017072344641670886,0.0021512069319056084
6,0.0012149851080110721,0.0010860722594825713
7,0.0007211866025995431,0.0007477220637730054
8,0.0005850057243114547,0.0007495091038118523
9,0.0005038359510425145,0.0006277044327154556
10,0.00045893195901141215,0.0006430553156732512
11,0.00041577483407256627,0.0005474986651859202
12,0.0004596620939352606,0.000392438228856991
13,0.0004160756496705856,0.0004654483578242862
14,0.0004054282322057633,0.00038266499031056967
15,0.00039978381268135257,0.00042376844423366774
16,0.00042135951878175524,0.00041932533803745953
17,0.00038715203659023863,0.0007015001368646404
18,0.0004171724275213476,0.0003565124294840912
19,0.0003745334814383141,0.0004154768224138354
20,0.0003616687904114725,0.0004006976497300194
21,0.0003430555703005048,0.00047529805603987167
22,0.0003350218479529624,0.0004284063927616749
23,0.0003215807379925924,0.0002813148260508795
24,0.0003273165803228207,0.0005008619936533122
25,0.00032671672496367623,0.00035527977102511134
26,0.0003215039162514114,0.00030714172243700055
27,0.0003341599744147425,0.0003621317274343447
28,0.00035058704369415606,0.0003101809388620391
29,0.000309852094983988,0.0003318059240192825
30,0.00032490967945343353,0.00033981107937518956
31,0.000290692205170454,0.0003038503096013911
32,0.00022852936275981055,0.00023003580213146248
33,0.00020687277216607872,0.0002651426352438636
34,0.00022150158881470132,0.00025233777979038807
35,0.0002177245280019649,0.0003501708201685883
36,0.0002118327954072124,0.00020512008182813833
37,0.00020989034508062413,0.0002143970930334743
38,0.00020515545028441663,0.00020667281850114553
39,0.00020231232824581018,0.00019440014880609967
40,0.0001955442699222619,0.00023251032230566136
41,0.00019848831083494042,0.00019500951621378304
42,0.00020336682816983473,0.00023146210732125997
43,0.00022095267836880797,0.0001939622990610453
44,0.00022005544560565546,0.00023565060520019606
45,0.00020884548703756087,0.00022593701705406888
46,0.00020444281330474407,0.0002786755752663797
47,0.000218086008731308,0.00018306927652537335
48,0.00019654976427977802,0.00016373722952120194
49,0.00018910080892629706,0.0002125872667951528
50,0.0002032723428778114,0.00021943115514403073
51,0.00019711368425040686,0.00023647131251433752
52,0.0001910767734878742,0.00015980234373932792
53,0.00019530671699340282,0.00019700114314261536
54,0.00018379192142438692,0.00016082353786809134
55,0.00019620337338329048,0.00015690738557730082
56,0.00018756058108516477,0.00021662603469562385
57,0.00021588263019345035,0.0001859346564547409
58,0.0001949190797625775,0.00020357803705276534
59,0.00020184756716430156,0.00018509448292640182
60,0.00018557456723093633,0.00015749965511940595
61,0.00019019671336859088,0.0001442549876097571
62,0.00018149082111436284,0.0002554590529027776
63,0.00019586989540346396,0.00022812142463060308
64,0.00018380490928131453,0.00016601321107947
65,0.00019149204191210966,0.00015664352741812812
66,0.0001688656525992351,0.0001671948613399318
67,0.00016749390968428897,0.00018868762269247348
68,0.00018807968786670705,0.0002206466518164356
69,0.00019820904381363853,0.00015884249848305816
70,0.0001414473676736673,0.0001244847280392892
71,0.00013833139290508442,0.0001255737133638624
72,0.0001349846433387849,0.00012380799097743436
73,0.00013539193169400364,0.0001445984093420795
74,0.00013462981308631932,0.00016328484158269161
75,0.00015673946072323978,0.00013614108281260069
76,0.00013542102367744004,0.00014224559586884254
77,0.00013526643920617356,0.00013503114597742202
78,0.00013451257824424054,0.00012131941099178465
79,0.00014078305332695996,0.0001874630790260064
80,0.00014894357871536639,0.00016460733360457766
81,0.00013930096162428747,0.00015043559531648424
82,0.00014023166058433405,0.0001304234317634739
83,0.00013488697008698136,0.000125846334266431
84,0.0001472912093282943,0.00015585769679641115
85,0.0001243741653865654,0.00012090881869307056
86,0.00013132308028042532,0.00013215637918375745
87,0.00012872929501388174,0.00012051966844611776
88,0.00014071451978216496,0.00012630605068129655
89,0.00013920889889065886,0.00015285224452592908
90,0.00013782408424607487,0.00014474751163491255
91,0.00013861584682446992,0.00012312485749427785
92,0.00014262234131028601,0.00019062225934041464
93,0.00012964816364427486,0.00011693496461574851
94,0.00014188058489983263,0.0001247713509118872
95,0.00013421317418199838,0.00012526200491827193
96,0.0001374559460155148,0.00011460313080472484
97,0.00013734343306024584,0.00012724415977108887
98,0.00013606116641228964,0.00014409482410340102
99,0.00013352584614910278,0.00014026813706068242
100,0.0001288904340326134,0.00011648747520349394
